plotnr,Date,totalvolume,meandiameter,meanheight,treat
7,2020-07-09,300.69,7.92,14.48,IL
4,2020-09-09,212.14,,22.29,F
13,2022-09-07,354.88,42.7,2.44,IL
15,2022-07-16,106.43,15.38,11.55,IL
11,2023-03-30,354.32,42.38,24.92,I
8,2023-07-03,217.6,10.42,18.89,IL
13,2023-09-08,439.67,7.11,11.44,IL
5,2020-05-07,267.31,22.28,27.35,C
7,2020-01-18,487.09,6.65,23.63,C
10,2021-07-19,308.93,48.08,9.42,F
3,2021-07-23,127.45,42.18,20.07,C
7,2023-09-08,414.46,41.03,18.68,C
11,2021-11-16,185.64,33.34,13.23,C
11,2021-09-17,186.86,14.73,12.27,C
8,2023-08-04,35.27,28.32,11.62,I
5,2022-05-03,283.38,31.88,19.28,C
4,2022-08-19,276.52,28.63,14.39,I
8,2020-06-03,190.88,16.71,25.29,I
8,2021-05-04,449.22,28.19,20.75,C
3,2023-11-10,81.8,27.1,3.96,IL
6,2022-02-23,178.45,,19.92,I
5,2023-02-01,174.36,45.38,9.59,IL
2,2023-11-17,64.3,25.85,18.6,IL
8,2020-09-02,250.95,33.03,21.04,C
12,2023-04-14,350.14,38.65,8.46,F
14,2022-11-28,265.6,6.57,14.79,C
6,2022-01-28,95.35,45.27,7.33,F
2,2021-06-21,201.1,43.71,3.47,F
16,2022-07-09,21.25,25.58,12.6,C
12,2021-02-11,436.78,22.6,12.16,C
5,2021-06-08,60.57,17.28,29.87,F
1,2022-04-07,306.69,26.45,14.5,C
12,2022-06-21,493.4,7.0,11.34,F
10,2020-02-05,277.56,43.35,18.25,IL
6,2021-11-15,463.54,6.59,4.49,C
13,2020-01-20,133.34,19.81,28.93,IL
12,2020-11-16,384.78,,19.78,I
9,2021-05-26,275.01,38.08,23.14,IL
1,2021-02-03,365.85,17.66,6.77,IL
11,2021-10-15,49.92,16.37,,F
11,2022-08-29,90.91,5.23,13.84,IL
15,2021-04-15,83.9,,25.01,C
10,2023-03-12,349.84,7.2,,F
16,2023-01-20,425.33,28.97,10.42,I
12,2023-10-09,379.82,48.3,29.47,C
12,2022-04-13,34.63,9.93,15.3,I
16,2021-12-27,436.26,45.25,12.71,IL
15,2022-05-03,189.99,49.62,5.36,C
14,2020-02-20,210.64,7.77,29.28,C
14,2021-07-28,70.34,44.73,2.56,I
15,2023-04-28,373.95,28.22,22.64,C
14,2023-02-22,107.5,45.79,23.52,C
3,2020-05-29,290.7,,8.82,C
12,2020-11-09,423.54,34.8,20.8,IL
